M7,8,1500,2000,1500,1200,2000,1500,1200,800,0,0,11700
M8,8,1500,2000,1500,1200,2000,1500,1200,800,0,0,11700
M9,8,1500,2000,1500,1200,2000,1500,1200,800,0,0,11700
M10,8,1500,2000,1500,1200,2000,1500,1200,800,0,0,11700
M11,8,1500,2000,1500,1200,2000,1500,1200,800,0,0,11700
M12,8,1500,2000,1500,1200,2000,1500,1200,800,0,0,11700
M13,12,1650,2200,1650,1320,2200,1650,1320,880,3960,2750,19580
M14,12,1650,2200,1650,1320,2200,1650,1320,880,3960,2750,19580
M15,12,1650,2200,1650,1320,2200,1650,1320,880,3960,2750,19580
M16,12,1650,2200,1650,1320,2200,1650,1320,880,3960,2750,19580
M17,12,1650,2200,1650,1320,2200,1650,1320,880,3960,2750,19580
M18,12,1650,2200,1650,1320,2200,1650,1320,880,3960,2750,19580
M19,15,1815,2420,1815,1452,2420,1815,1452,968,5940,3465,23562
M20,15,1815,2420,1815,1452,2420,1815,1452,968,5940,3465,23562
M21,15,1815,2420,1815,1452,2420,1815,1452,968,5940,3465,23562
M22,15,1815,2420,1815,1452,2420,1815,1452,968,5940,3465,23562
M23,15,1815,2420,1815,1452,2420,1815,1452,968,5940,3465,23562
M24,15,1815,2420,1815,1452,2420,1815,1452,968,5940,3465,23562
,,,,,,,,,,,
=== MARKETING COSTS ===,,,,,,,,,,,
Month,Organic/Community,Paid Ads,KOL/Influencer,Content/SEO,PR/Media,Referral Program,Total Marketing,,,,,
M1,0,0,0,0,0,0,0,,,,,
M2,100,0,0,0,0,0,100,,,,,
M3,100,0,0,100,0,0,200,,,,,
M4,200,800,500,200,0,300,2000,,,,,
M5,200,1000,600,300,0,400,2500,,,,,
M6,200,1200,700,300,0,500,2900,,,,,
M7,300,2000,1000,500,500,700,5000,,,,,
M8,300,2500,1200,500,500,1000,6000,,,,,
M9,300,3000,1500,500,1000,1200,7500,,,,,
M10,300,3000,1500,500,1000,1200,7500,,,,,
M11,300,3500,1500,500,1000,1200,8000,,,,,
M12,300,4000,2000,500,1000,1200,9000,,,,,
M13,500,5000,3000,1000,2000,2000,13500,,,,,
M14,500,5000,3000,1000,2000,2000,13500,,,,,
M15,500,6000,3000,1000,2000,2500,15000,,,,,
M16,500,6000,3000,1000,2000,2500,15000,,,,,
M17,500,7000,3000,1000,2000,3000,16500,,,,,
M18,500,7000,3500,1000,2000,3000,17000,,,,,
M19,500,8000,4000,1500,2000,4000,20000,,,,,
M20,500,8000,4000,1500,2000,4000,20000,,,,,
M21,500,8000,4000,1500,2000,4000,20000,,,,,
M22,500,8000,4000,1500,2000,4000,20000,,,,,
M23,500,8000,4000,1500,2000,4000,20000,,,,,
M24,500,8000,4000,1500,2000,4000,20000,,,,,
,,,,,,,,,,,
=== TOTAL COST SUMMARY ===,,,,,,,,,,,
Month,LLM Costs,Infra Costs,Team Costs,Marketing Costs,Legal/Admin,Payment Processing (3% rev),Total COGS,Total OpEx,Total Costs,,,
M1,35,0,5000,0,200,1,35,5201,5236,,,
M2,86,0,5000,100,200,2,86,5302,5388,,,
M3,172,0,5000,200,200,4,172,5404,5576,,,
M4,297,0,8200,2000,200,10,297,10410,10707,,,
M5,504,0,8200,2500,200,19,504,10919,11423,,,
M6,828,0,8200,2900,200,34,828,11334,12162,,,
M7,1096,174,11700,5000,300,53,1270,17053,18323,,,
M8,1592,285,11700,6000,300,83,1877,18083,19960,,,
M9,2429,470,11700,7500,300,135,2899,19635,22534,,,
M10,3121,755,11700,7500,300,193,3876,19693,23569,,,
M11,4684,1125,11700,8000,300,290,5809,20290,26099,,,
M12,7805,1965,11700,9000,300,483,9770,21483,31253,,,
M13,8773,2635,19580,13500,400,648,11408,34128,45536,,,
M14,10527,3079,19580,13500,400,776,13606,34256,47862,,,
M15,12648,3560,19580,15000,400,938,16208,35918,52126,,,
M16,13697,4215,19580,15000,400,1104,17912,36084,53996,,,
M17,16436,4955,19580,16500,400,1325,21391,37805,59196,,,
M18,20543,6065,19580,17000,400,1656,26608,38636,65244,,,
M19,22673,7275,23562,20000,500,1988,29948,46050,75998,,,
M20,27078,8570,23562,20000,500,2374,35648,46436,82084,,,
M21,30035,10150,23562,20000,500,2991,40185,47053,87238,,,
M22,35330,11815,23562,20000,500,3507,47145,47569,94714,,,
M23,40631,13580,23562,20000,500,4049,54211,48111,102322,,,
M24,47124,15615,23562,20000,500,4692,62739,48754,111493,,,
